,month,day,campaign_number,user_engagement,banner,placement,displays,placement_costs,clicks,advert_firm_revenue,post_click_conversions,post_click_sales_amount,cpm_company,cpc_company,profit_company,roi_company,cpc_advert_firm,profit_advert_firm,roi_advert_firm
1,April,1,camp 1,High,160 x 600,def,20170,26.7824,158,28.9717,23,1972.4602,1.4363758056519582,0.1833651898734177,1943.4885,6708.230790737167,0.16950886075949367,2.1892999999999994,8.17439811219308
2,April,1,camp 1,High,160 x 600,ghi,14701,27.6304,158,28.9771,78,2497.2636,1.9710972042718184,0.1833993670886076,2468.2865,8518.059088038486,0.1748759493670886,1.3466999999999985,4.873979385025184
3,April,1,camp 1,High,160 x 600,mno,171259,216.875,1796,329.4518,617,24625.3234,1.9237050315603852,0.18343641425389753,24295.871600000002,7374.636168325686,0.12075445434298442,112.57679999999999,51.90861095100864
4,April,1,camp 1,Low,160 x 600,def,552,0.067,1,0.1834,0,0.0,0.3322463768115942,0.1834,-0.1834,-100.0,0.067,0.1164,173.73134328358208
6,April,1,camp 1,Low,160 x 600,mno,2234,0.4044,10,1.8347,3,101.7494,0.8212623097582811,0.18347,99.9147,5445.833106229901,0.04044,1.4303,353.68447082096935
7,April,1,camp 1,Medium,160 x 600,def,2963,1.8899,4,0.7338,4,100.5044,0.247654404319946,0.18345,99.7706,13596.429544835104,0.472475,-1.1561,-61.172548812106456
8,April,1,camp 1,Medium,160 x 600,ghi,580,0.9917,9,1.6512,0,0.0,2.846896551724138,0.18346666666666667,-1.6512,-100.0,0.11018888888888889,0.6595,66.50196632045981
9,April,1,camp 1,Medium,160 x 600,mno,20152,11.1678,185,33.9397,13,653.1896,1.684185192536721,0.18345783783783784,619.2499,1824.5591446005708,0.06036648648648649,22.771900000000002,203.90676767134087
10,April,1,camp 1,High,240 x 400,def,56499,50.5157,309,56.6775,105,4288.6699,1.0031593479530612,0.1834223300970874,4231.9924,7466.7944069516125,0.1634812297734628,6.1617999999999995,12.197791973584449
11,April,1,camp 1,High,240 x 400,ghi,392142,351.9167,10237,1877.8227,2513,119601.4208,4.788629374053277,0.18343486372960827,117723.5981,6269.154063373502,0.03437693660252027,1525.906,433.5986328582872
12,April,1,camp 1,High,240 x 400,jkl,62395,30.2386,678,124.3631,173,10402.0618,1.9931581056174372,0.183426401179941,10277.698699999999,8264.267053490945,0.04459970501474927,94.1245,311.27267796789533
13,April,1,camp 1,High,240 x 400,mno,214074,432.5858,2120,388.8174,805,39654.6687,1.8162756803722078,0.18340443396226416,39265.8513,10098.789637500791,0.20404990566037737,-43.768399999999986,-10.117854076578562
14,April,1,camp 1,Low,240 x 400,def,671,0.0997,2,0.3669,0,0.0,0.546795827123696,0.18345,-0.3669,-100.0,0.04985,0.2672,268.00401203610835
15,April,1,camp 1,Low,240 x 400,ghi,1188,0.904,7,1.2843,2,145.5734,1.081060606060606,0.18347142857142856,144.2891,11234.843883827765,0.12914285714285714,0.38029999999999997,42.068584070796454
16,April,1,camp 1,Low,240 x 400,jkl,380,0.1743,1,0.1834,1,211.5323,0.4826315789473684,0.1834,211.3489,115239.31297709924,0.1743,0.009099999999999997,5.220883534136544
17,April,1,camp 1,Low,240 x 400,mno,1789,0.4418,3,0.5504,0,0.0,0.30765790944661825,0.18346666666666667,-0.5504,-100.0,0.14726666666666668,0.10859999999999997,24.581258488003616
18,April,1,camp 1,Medium,240 x 400,def,6595,2.3886,30,5.5042,3,14.6254,0.8346019711902957,0.18347333333333332,9.121200000000002,165.713455179681,0.07962,3.1156,130.4362388009713
19,April,1,camp 1,Medium,240 x 400,ghi,25765,22.1996,696,127.6715,82,5851.2447,4.955229963128274,0.1834360632183908,5723.5732,4483.046882037103,0.031895977011494256,105.47189999999999,475.1072091389034
20,April,1,camp 1,Medium,240 x 400,jkl,4595,2.2328,45,8.2563,5,392.7653,1.7968008705114253,0.18347333333333332,384.509,4657.158775722782,0.04961777777777778,6.023499999999999,269.7733787173056
21,April,1,camp 1,Medium,240 x 400,mno,18518,16.6353,158,28.9859,28,1735.5801,1.5652824279079816,0.18345506329113925,1706.5942,5887.670212068626,0.1052867088607595,12.3506,74.24332593941799
23,April,1,camp 1,High,300 x 250,def,52381,54.8999,286,52.4647,99,4844.9065,1.001597907638266,0.183443006993007,4792.4418,9134.602504159939,0.19195769230769233,-2.435200000000002,-4.435709354661851
24,April,1,camp 1,High,300 x 250,ghi,62042,42.1673,1164,213.5207,364,20272.775,3.441550884884433,0.18343702749140894,20059.2543,9394.524418475587,0.036226202749140894,171.35340000000002,406.3655960898612
25,April,1,camp 1,High,300 x 250,jkl,10001,5.495,82,15.0419,27,1304.4818,1.504039596040396,0.18343780487804878,1289.4399,8572.320650981592,0.06701219512195122,9.5469,173.73794358507735
26,April,1,camp 1,High,300 x 250,mno,277579,336.111,2042,374.5268,754,45839.9536,1.3492620118957124,0.18341175318315375,45465.4268,12139.432158125936,0.16459892262487757,38.41579999999999,11.429497993222475
27,April,1,camp 1,Low,300 x 250,def,448,0.1226,2,0.3669,0,0.0,0.8189732142857142,0.18345,-0.3669,-100.0,0.0613,0.24430000000000002,199.26590538336052
28,April,1,camp 1,Low,300 x 250,ghi,112,0.0661,1,0.1834,0,0.0,1.6375000000000002,0.1834,-0.1834,-100.0,0.0661,0.1173,177.45839636913766
30,April,1,camp 1,Low,300 x 250,mno,3841,0.7599,15,2.7521,7,1864.6591,0.7165061181983858,0.18347333333333332,1861.9070000000002,67654.04600123543,0.050660000000000004,1.9922,262.16607448348464
31,April,1,camp 1,Medium,300 x 250,def,5932,3.8013,30,5.4954,6,573.1474,0.9263991908293999,0.18318,567.6519999999999,10329.58474360374,0.12671,1.6941000000000002,44.56633257043644
32,April,1,camp 1,Medium,300 x 250,ghi,2983,1.8454,82,15.039,1,29.2134,5.041568890378813,0.18340243902439024,14.1744,94.25094753640535,0.022504878048780486,13.1936,714.945269318305
33,April,1,camp 1,Medium,300 x 250,jkl,678,0.3841,4,0.7338,1,14.1537,1.082300884955752,0.18345,13.4199,1828.8225674570729,0.096025,0.3497,91.04399895860453
34,April,1,camp 1,Medium,300 x 250,mno,30998,17.3368,184,33.7474,12,1323.659,1.088696044906123,0.18340978260869564,1289.9116000000001,3822.2547514771513,0.09422173913043479,16.4106,94.65760694015042
35,April,1,camp 1,High,468 x 60,def,1182,0.7543,2,0.3669,1,30.8236,0.31040609137055836,0.18345,30.456699999999998,8301.090215317525,0.37715,-0.38739999999999997,-51.35887577886782
37,April,1,camp 1,High,468 x 60,jkl,7,0.0045,1,0.1834,0,0.0,26.200000000000003,0.1834,-0.1834,-100.0,0.0045,0.1789,3975.555555555556
38,April,1,camp 1,High,468 x 60,mno,4177,2.5521,7,1.2843,0,0.0,0.30746947570026334,0.18347142857142856,-1.2843,-100.0,0.36458571428571424,-1.2677999999999998,-49.67673680498413
39,April,1,camp 1,Low,468 x 60,def,7,0.0015,1,0.1834,0,0.0,26.200000000000003,0.1834,-0.1834,-100.0,0.0015,0.1819,12126.666666666666
44,April,1,camp 1,High,580 x 400,mno,52004,132.7561,1043,191.2989,401,15561.6075,3.6785420352280593,0.18341217641418983,15370.3086,8034.708302034147,0.12728293384467881,58.5428,44.098011315487575
45,April,1,camp 1,Low,580 x 400,mno,492,0.1722,6,1.1008,1,45.9209,2.2373983739837398,0.18346666666666667,44.820100000000004,4071.5933866279074,0.0287,0.9286,539.2566782810685
46,April,1,camp 1,Medium,580 x 400,mno,4795,6.0088,60,11.0055,8,767.8439,2.295203336809176,0.183425,756.8384,6876.910635591295,0.10014666666666666,4.9967,83.15637065637065
47,April,1,camp 1,High,670 x 90,def,5270,8.8886,56,10.2745,39,776.4618,1.9496204933586336,0.18347321428571428,766.1873,7457.173585089299,0.158725,1.3858999999999995,15.591881736156418
48,April,1,camp 1,High,670 x 90,ghi,20898,16.8185,165,30.2614,63,2214.2764,1.4480524452100678,0.18340242424242423,2184.0150000000003,7217.1644405083725,0.10193030303030304,13.442899999999998,79.92924458185925
49,April,1,camp 1,High,670 x 90,jkl,434,0.308,3,0.5504,0,0.0,1.2682027649769585,0.18346666666666667,-0.5504,-100.0,0.10266666666666667,0.2424,78.70129870129871
50,April,1,camp 1,High,670 x 90,mno,20161,31.6511,176,32.2884,92,3989.2796,1.601527701998909,0.1834568181818182,3956.9912,12255.147978840696,0.17983579545454545,0.6373000000000033,2.0135161179232424
51,April,1,camp 1,Low,670 x 90,def,45,0.0111,1,0.1834,0,0.0,4.075555555555555,0.1834,-0.1834,-100.0,0.0111,0.1723,1552.2522522522524
54,April,1,camp 1,Low,670 x 90,mno,175,0.0204,1,0.1834,0,0.0,1.048,0.1834,-0.1834,-100.0,0.0204,0.163,799.0196078431372
55,April,1,camp 1,Medium,670 x 90,def,441,0.3654,7,1.2843,0,0.0,2.9122448979591837,0.18347142857142856,-1.2843,-100.0,0.0522,0.9189,251.4778325123153
56,April,1,camp 1,Medium,670 x 90,ghi,1233,0.9526,9,1.6512,2,183.3429,1.3391727493917276,0.18346666666666667,181.6917,11003.615552325582,0.10584444444444445,0.6986,73.33613268948142
58,April,1,camp 1,Medium,670 x 90,mno,1978,1.3976,13,2.3851,0,0.0,1.205813953488372,0.18346923076923077,-2.3851,-100.0,0.1075076923076923,0.9875,70.65684029765312
60,April,1,camp 1,High,728 x 90,def,77942,74.7667,410,75.1528,121,6710.2429,0.9642144158476816,0.18329951219512194,6635.0901,8828.799592297293,0.18235780487804878,0.386099999999999,0.5164063680756259
61,April,1,camp 1,High,728 x 90,ghi,221002,292.8014,3384,620.7497,1179,59726.9939,2.808796752970561,0.18343667257683213,59106.2442,9521.751553001153,0.08652523640661938,327.94829999999996,112.00366528302116
62,April,1,camp 1,High,728 x 90,jkl,32546,13.5669,254,46.5936,93,5418.0655,1.4316229336938489,0.18343937007874017,5371.4719,11528.347026201021,0.05341299212598425,33.026700000000005,243.43586228246693
63,April,1,camp 1,High,728 x 90,mno,428642,424.0715,2961,543.1365,1239,57545.6564,1.2671098492448243,0.18343009118541032,57002.5199,10495.063377254153,0.14321901384667343,119.06499999999994,28.076633303582042
64,April,1,camp 1,Low,728 x 90,def,824,0.1407,4,0.7338,0,0.0,0.8905339805825242,0.18345,-0.7338,-100.0,0.035175,0.5931,421.53518123667374
65,April,1,camp 1,Low,728 x 90,ghi,366,0.4347,3,0.5504,0,0.0,1.5038251366120219,0.18346666666666667,-0.5504,-100.0,0.1449,0.11570000000000003,26.616057050839665
67,April,1,camp 1,Low,728 x 90,mno,5689,1.099,10,1.8288,1,12.7891,0.3214624714361048,0.18288,10.9603,599.3164916885389,0.1099,0.7298,66.40582347588717
69,April,1,camp 1,Medium,728 x 90,def,8165,3.8733,34,6.2381,1,72.0659,0.7640048989589713,0.1834735294117647,65.8278,1055.254003622898,0.11392058823529412,2.3648000000000002,61.05388170294065
70,April,1,camp 1,Medium,728 x 90,ghi,10611,13.1693,179,32.833,32,1587.3458,3.0942418245217227,0.1834245810055866,1554.5128,4734.604818323029,0.07357150837988827,19.6637,149.31469402322065
71,April,1,camp 1,Medium,728 x 90,jkl,2741,1.1191,31,5.6876,2,85.7347,2.075009120758847,0.18347096774193547,80.0471,1407.3967930234196,0.0361,4.5685,408.2298275399875
72,April,1,camp 1,Medium,728 x 90,mno,50040,23.4219,309,56.665,31,2749.2091,1.1323940847322143,0.1833818770226537,2692.5441,4751.6881672990385,0.0757990291262136,33.2431,141.931696403793
73,April,1,camp 1,High,800 x 250,mno,21,0.0235,1,0.1834,0,0.0,8.733333333333334,0.1834,-0.1834,-100.0,0.0235,0.15990000000000001,680.4255319148937
75,April,1,camp 2,Low,160 x 600,def,6745,0.5595,21,0.8256,0,0.0,0.1224017790956264,0.03931428571428571,-0.8256,-100.0,0.026642857142857142,0.2661,47.56032171581769
76,April,1,camp 2,Low,160 x 600,ghi,99,0.1207,1,0.0393,0,0.0,0.396969696969697,0.0393,-0.0393,-100.0,0.1207,-0.0814,-67.43993371996686
77,April,1,camp 2,Low,160 x 600,mno,50107,5.9831,367,14.427,3,66.5661,0.2879238429760313,0.03931062670299727,52.139100000000006,361.39945934705764,0.01630272479564033,8.4439,141.1291805251458
79,April,1,camp 2,Medium,160 x 600,def,22075,5.1608,321,12.6178,4,269.4696,0.5715877689694224,0.03930778816199377,256.8518,2035.6306170647815,0.016077258566978194,7.457000000000001,144.49310184467527
80,April,1,camp 2,Medium,160 x 600,ghi,2469,3.7891,58,2.2803,3,236.7731,0.9235722964763062,0.039315517241379314,234.4928,10283.418848397141,0.06532931034482758,-1.5088,-39.81948219893906
81,April,1,camp 2,Medium,160 x 600,mno,181282,45.9527,3611,141.9534,56,2923.7718,0.7830529230701337,0.039311381888673495,2781.8184,1959.6701452730265,0.012725754638604266,96.0007,208.91198993747918
82,April,1,camp 2,Low,240 x 400,def,12670,1.4582,51,2.0051,0,0.0,0.1582557221783741,0.039315686274509806,-2.0051,-100.0,0.028592156862745098,0.5469000000000002,37.505143327389945
83,April,1,camp 2,Low,240 x 400,ghi,23968,18.3079,574,22.5666,10,1003.2078,0.9415303738317757,0.03931463414634147,980.6412,4345.542527452075,0.031895296167247386,4.258700000000001,23.261542831236795
84,April,1,camp 2,Low,240 x 400,jkl,3706,1.6423,48,1.8871,0,0.0,0.5092012951969779,0.03931458333333333,-1.8871,-100.0,0.03421458333333333,0.2447999999999999,14.905924617913897
85,April,1,camp 2,Low,240 x 400,mno,39787,4.5533,209,8.2163,0,0.0,0.2065071505768216,0.03931244019138756,-8.2163,-100.0,0.021786124401913878,3.6630000000000003,80.44714822216854
86,April,1,camp 2,Medium,240 x 400,def,64482,13.582,886,34.825,4,166.4344,0.540073198722124,0.0393058690744921,131.6094,377.91643933955487,0.015329571106094808,21.243000000000002,156.4055367398027
87,April,1,camp 2,Medium,240 x 400,ghi,214846,184.0818,10390,408.4178,146,12485.0212,1.9009793061076308,0.03930873917228104,12076.6034,2956.923865708106,0.01771720885466795,224.336,121.86756105166292
88,April,1,camp 2,Medium,240 x 400,jkl,28666,13.0473,755,29.6727,18,916.0838,1.0351182585641525,0.039301589403973505,886.4111,2987.295055724622,0.01728119205298013,16.6254,127.42406474902852
89,April,1,camp 2,Medium,240 x 400,mno,184116,61.6561,2720,106.9128,39,3724.3667,0.5806817441178387,0.03930617647058824,3617.4539,3383.555476986853,0.022667683823529412,45.2567,73.40182074441945
90,April,1,camp 2,Low,300 x 250,abc,3,0.0061,1,0.0393,0,0.0,13.100000000000001,0.0393,-0.0393,-100.0,0.0061,0.0332,544.2622950819672
91,April,1,camp 2,Low,300 x 250,def,8682,1.497,44,1.7286,0,0.0,0.19910158949550794,0.03928636363636363,-1.7286,-100.0,0.034022727272727274,0.2315999999999998,15.470941883767523
92,April,1,camp 2,Low,300 x 250,ghi,4354,2.6398,86,3.3786,2,141.2879,0.7759761139182361,0.039286046511627905,137.9093,4081.8475108032912,0.030695348837209303,0.7387999999999999,27.98696870975073
94,April,1,camp 2,Low,300 x 250,mno,92429,9.1632,498,19.5742,1,12.9709,0.21177552499756572,0.03930562248995984,-6.603300000000001,-33.734712018882,0.0184,10.411000000000001,113.61751353239045
96,April,1,camp 2,Medium,300 x 250,def,35227,14.1625,401,15.7612,14,839.2774,0.44741817356005337,0.03930473815461347,823.5161999999999,5224.958759485317,0.03531795511221945,1.598700000000001,11.288261253309804
97,April,1,camp 2,Medium,300 x 250,ghi,33570,20.8269,1426,56.0374,38,2771.717,1.6692701817098599,0.039296914446002806,2715.6796,4846.191293671726,0.014605119214586255,35.210499999999996,169.06260653289735
98,April,1,camp 2,Medium,300 x 250,jkl,2324,1.318,19,0.747,0,0.0,0.3214285714285714,0.039315789473684214,-0.747,-100.0,0.06936842105263158,-0.5710000000000001,-43.32321699544765
99,April,1,camp 2,Medium,300 x 250,mno,304259,73.5196,3328,130.8237,52,6350.6364,0.42997479121406434,0.039310006009615386,6219.8127,4754.347033450361,0.02209122596153846,57.304100000000005,77.94397684427011
102,April,1,camp 2,Low,468 x 60,mno,587,0.0259,2,0.0786,0,0.0,0.13390119250425894,0.0393,-0.0786,-100.0,0.01295,0.052700000000000004,203.4749034749035
103,April,1,camp 2,Medium,468 x 60,def,1324,0.2195,9,0.3538,0,0.0,0.2672205438066465,0.03931111111111111,-0.3538,-100.0,0.02438888888888889,0.1343,61.18451025056948
106,April,1,camp 2,Medium,468 x 60,mno,3094,0.2878,5,0.1965,0,0.0,0.06351001939237233,0.0393,-0.1965,-100.0,0.05756,-0.09129999999999999,-31.723419041000696
107,April,1,camp 2,Low,580 x 400,mno,12604,2.4409,245,9.6317,0,0.0,0.7641780387178674,0.0393130612244898,-9.6317,-100.0,0.009962857142857143,7.1908,294.59625547953624
108,April,1,camp 2,Medium,580 x 400,mno,46408,22.7809,1766,69.4187,18,1683.7638,1.4958347698672643,0.03930843714609287,1614.3451,2325.519060426081,0.012899716874292186,46.6378,204.72325500748437
109,April,1,camp 2,Low,670 x 90,def,552,0.1107,3,0.1179,0,0.0,0.21358695652173912,0.0393,-0.1179,-100.0,0.0369,0.007199999999999998,6.504065040650405
110,April,1,camp 2,Low,670 x 90,ghi,371,0.2683,5,0.1965,0,0.0,0.5296495956873316,0.0393,-0.1965,-100.0,0.05366,-0.07179999999999997,-26.76108833395452
112,April,1,camp 2,Low,670 x 90,mno,4624,0.2915,24,0.9435,0,0.0,0.20404411764705882,0.0393125,-0.9435,-100.0,0.012145833333333333,0.652,223.67066895368785
113,April,1,camp 2,Medium,670 x 90,def,3957,1.6338,40,1.572,0,0.0,0.397270659590599,0.0393,-1.572,-100.0,0.040845,-0.061799999999999855,-3.7825927286081438
114,April,1,camp 2,Medium,670 x 90,ghi,6501,4.9835,102,4.0095,5,359.4609,0.616751269035533,0.039308823529411764,355.4514,8865.23007856341,0.04885784313725491,-0.9740000000000002,-19.544496839570584
115,April,1,camp 2,Medium,670 x 90,jkl,449,0.3253,13,0.5104,0,0.0,1.1367483296213807,0.03926153846153846,-0.5104,-100.0,0.025023076923076922,0.1851,56.90132185674762
116,April,1,camp 2,Medium,670 x 90,mno,19507,3.8768,252,9.9063,6,253.8565,0.5078330855590301,0.03931071428571428,243.95020000000002,2462.576340308693,0.015384126984126983,6.0295000000000005,155.52775484936032
117,April,1,camp 2,Low,728 x 90,def,12328,1.6025,74,2.9093,1,22.7769,0.23599123945489942,0.039314864864864865,19.867600000000003,682.8996665864641,0.021655405405405406,1.3068,81.54758190327613
118,April,1,camp 2,Low,728 x 90,ghi,2999,3.1095,37,1.454,1,11.7896,0.48482827609203066,0.03929729729729729,10.3356,710.8390646492435,0.08404054054054054,-1.6555000000000002,-53.24007075092459
119,April,1,camp 2,Low,728 x 90,jkl,1380,0.5564,13,0.5111,0,0.0,0.3703623188405797,0.03931538461538461,-0.5111,-100.0,0.0428,-0.04530000000000001,-8.141624730409779
120,April,1,camp 2,Low,728 x 90,mno,108130,9.4151,666,26.178,5,523.5354,0.2420974752612596,0.039306306306306306,497.3574,1899.9060279624111,0.014136786786786789,16.762900000000002,178.04271861159202
122,April,1,camp 2,Medium,728 x 90,def,59277,15.2085,722,28.3712,8,930.7221,0.4786207129240684,0.03929529085872577,902.3508999999999,3180.517214640198,0.021064404432132967,13.162700000000001,86.54831179932275
123,April,1,camp 2,Medium,728 x 90,ghi,55588,63.9296,1515,59.5549,53,3942.6278,1.0713625242858171,0.039310165016501655,3883.0729,6520.156863666969,0.04219775577557756,-4.374699999999997,-6.842996045650211
124,April,1,camp 2,Medium,728 x 90,jkl,13955,6.0226,228,8.9633,10,1160.8372,0.6423002508061627,0.03931271929824562,1151.8739,12851.002420983343,0.026414912280701752,2.9407000000000005,48.82774881280511
125,April,1,camp 2,Medium,728 x 90,mno,390929,79.3017,5323,209.2502,63,38386.9424,0.5352639481849646,0.03931057674243848,38177.6922,18244.996755080756,0.014897933496148787,129.94850000000002,163.86597008639163
126,April,1,camp 2,Medium,800 x 250,mno,28,0.0112,2,0.0786,0,0.0,2.8071428571428574,0.0393,-0.0786,-100.0,0.0056,0.0674,601.7857142857143
127,April,1,camp 3,High,160 x 600,def,2366,0.5795,4,0.2096,0,0.0,0.0885883347421809,0.0524,-0.2096,-100.0,0.144875,-0.3699,-63.83088869715272
129,April,1,camp 3,High,160 x 600,mno,22167,5.018,50,2.621,1,532.0745,0.1182388234763387,0.05242,529.4535,20200.4387638306,0.10035999999999999,-2.397,-47.76803507373455
131,April,1,camp 3,Low,160 x 600,def,11834,0.6988,21,1.1008,0,0.0,0.09302011154301165,0.05241904761904762,-1.1008,-100.0,0.03327619047619047,0.402,57.52718946765884
133,April,1,camp 3,Low,160 x 600,mno,41489,2.2941,167,8.7543,0,0.0,0.21100291643568178,0.05242095808383234,-8.7543,-100.0,0.013737125748502993,6.4602,281.6006276971362
135,April,1,camp 3,Medium,160 x 600,def,17057,1.4853,51,2.6734,1,9.6979,0.15673330597408688,0.052419607843137254,7.024500000000001,262.7552928854642,0.029123529411764708,1.1881,79.99057429475526
136,April,1,camp 3,Medium,160 x 600,ghi,54,0.0723,1,0.0524,0,0.0,0.9703703703703704,0.0524,-0.0524,-100.0,0.0723,-0.0199,-27.52420470262794
137,April,1,camp 3,Medium,160 x 600,mno,82918,8.5739,533,27.9399,13,1195.3097,0.3369581996671411,0.05242007504690432,1167.3698,4178.145948983353,0.01608611632270169,19.366,225.8715403725259
138,April,1,camp 3,High,240 x 400,def,7325,1.5326,13,0.6814,1,128.4186,0.09302389078498294,0.052415384615384614,127.7372,18746.28705606105,0.11789230769230769,-0.8512,-55.53960589847318
139,April,1,camp 3,High,240 x 400,ghi,9037,7.402,67,3.5122,2,458.0165,0.388646674781454,0.05242089552238806,454.5043,12940.7294573202,0.11047761194029851,-3.8898,-52.55066198324777
140,April,1,camp 3,High,240 x 400,jkl,5524,2.4892,33,1.729,4,145.7912,0.3129978276611151,0.052393939393939395,144.0622,8332.111046847887,0.07543030303030303,-0.7601999999999998,-30.53993250843644
141,April,1,camp 3,High,240 x 400,mno,25346,8.8753,62,3.2475,9,446.8068,0.1281267261106289,0.05237903225806452,443.5593,13658.484988452656,0.14315,-5.627799999999999,-63.40968755985712
142,April,1,camp 3,Low,240 x 400,def,9414,0.7765,17,0.8911,0,0.0,0.09465689398767792,0.05241764705882353,-0.8911,-100.0,0.04567647058823529,0.11460000000000004,14.758531873792666
143,April,1,camp 3,Low,240 x 400,ghi,3810,2.6574,31,1.6242,0,0.0,0.42629921259842524,0.052393548387096776,-1.6242,-100.0,0.08572258064516129,-1.0332,-38.88010837660871
144,April,1,camp 3,Low,240 x 400,jkl,459,0.1932,8,0.4193,0,0.0,0.9135076252723311,0.0524125,-0.4193,-100.0,0.02415,0.2261,117.02898550724636
145,April,1,camp 3,Low,240 x 400,mno,24730,0.6839,34,1.7823,0,0.0,0.0720703598867772,0.052420588235294115,-1.7823,-100.0,0.02011470588235294,1.0984,160.60827606375204
146,April,1,camp 3,Medium,240 x 400,def,26007,2.7446,86,4.5065,0,0.0,0.173280270696351,0.052401162790697675,-4.5065,-100.0,0.031913953488372095,1.7618999999999998,64.19514683378269
147,April,1,camp 3,Medium,240 x 400,ghi,17962,13.865,315,16.5126,3,339.5186,0.9193074267898897,0.05242095238095238,323.006,1956.1183581022976,0.044015873015873015,2.647599999999999,19.09556437071763
148,April,1,camp 3,Medium,240 x 400,jkl,4265,1.8812,61,3.1976,0,0.0,0.7497303634232122,0.05241967213114754,-3.1976,-100.0,0.030839344262295083,1.3164,69.97661067403786
149,April,1,camp 3,Medium,240 x 400,mno,59998,4.4489,180,9.4358,2,201.9655,0.1572685756191873,0.05242111111111111,192.5297,2040.4173467008625,0.024716111111111112,4.9869,112.09287689091687
150,April,1,camp 3,High,300 x 250,def,4967,1.7042,19,0.996,0,0.0,0.20052345480169115,0.052421052631578945,-0.996,-100.0,0.08969473684210526,-0.7081999999999999,-41.556155380823846
151,April,1,camp 3,High,300 x 250,ghi,1273,0.7603,13,0.6814,0,0.0,0.5352710133542813,0.052415384615384614,-0.6814,-100.0,0.058484615384615385,-0.07889999999999997,-10.37748257266868
152,April,1,camp 3,High,300 x 250,jkl,293,0.1758,1,0.0524,0,0.0,0.17883959044368603,0.0524,-0.0524,-100.0,0.1758,-0.12340000000000001,-70.193401592719
153,April,1,camp 3,High,300 x 250,mno,30737,8.1757,94,4.9267,7,768.5861,0.1602856492175554,0.052411702127659575,763.6594,15500.42421905129,0.08697553191489363,-3.2490000000000006,-39.7397164768766
155,April,1,camp 3,Low,300 x 250,def,12292,0.9557,63,3.3016,0,0.0,0.2685974617637488,0.052406349206349206,-3.3016,-100.0,0.015169841269841269,2.3459000000000003,245.4640577587109
156,April,1,camp 3,Low,300 x 250,ghi,831,0.4489,9,0.4717,0,0.0,0.5676293622141998,0.05241111111111111,-0.4717,-100.0,0.04987777777777778,0.022799999999999987,5.079082200935617
158,April,1,camp 3,Low,300 x 250,mno,66100,2.7654,118,6.184,7,463.3167,0.0935552193645991,0.05240677966101695,457.1327,7392.1846701164295,0.023435593220338984,3.4186,123.62045273739784
159,April,1,camp 3,Medium,300 x 250,abc,4,0.008,1,0.0524,0,0.0,13.100000000000001,0.0524,-0.0524,-100.0,0.008,0.0444,555.0
160,April,1,camp 3,Medium,300 x 250,def,21214,2.9495,126,6.6036,1,3.9307,0.31128500047138685,0.05240952380952381,-2.6729000000000003,-40.47640680840754,0.02340873015873016,3.6541,123.88879471096797
161,April,1,camp 3,Medium,300 x 250,ghi,2866,1.5827,69,3.6153,0,0.0,1.2614445219818562,0.052395652173913045,-3.6153,-100.0,0.02293768115942029,2.0326,128.42610728501927
162,April,1,camp 3,Medium,300 x 250,jkl,44,0.0227,1,0.0524,0,0.0,1.190909090909091,0.0524,-0.0524,-100.0,0.0227,0.0297,130.83700440528634
163,April,1,camp 3,Medium,300 x 250,mno,116957,9.17,418,21.9095,3,216.6186,0.18732953136622862,0.05241507177033493,194.70909999999998,888.6971405098244,0.0219377990430622,12.739500000000001,138.9258451472192
170,April,1,camp 3,Medium,468 x 60,def,421,0.0278,3,0.1572,0,0.0,0.373396674584323,0.0524,-0.1572,-100.0,0.009266666666666666,0.12940000000000002,465.4676258992807
172,April,1,camp 3,Medium,468 x 60,mno,893,0.0148,1,0.0524,0,0.0,0.058678611422172455,0.0524,-0.0524,-100.0,0.0148,0.0376,254.05405405405403
173,April,1,camp 3,High,580 x 400,mno,7540,3.1057,32,1.6769,0,0.0,0.2224005305039788,0.052403125,-1.6769,-100.0,0.097053125,-1.4288,-46.00573139710854
174,April,1,camp 3,Low,580 x 400,mno,10045,0.752,73,3.8267,0,0.0,0.38095569935291196,0.05242054794520548,-3.8267,-100.0,0.010301369863013698,3.0747,408.86968085106383
175,April,1,camp 3,Medium,580 x 400,mno,23157,3.0873,248,12.9996,1,66.9636,0.5613680528565876,0.05241774193548387,53.964,415.1204652450845,0.012448790322580646,9.912299999999998,321.0669517053736
177,April,1,camp 3,High,670 x 90,ghi,115,0.0928,1,0.0524,0,0.0,0.45565217391304347,0.0524,-0.0524,-100.0,0.0928,-0.04039999999999999,-43.53448275862068
179,April,1,camp 3,High,670 x 90,mno,1978,0.3535,2,0.1048,0,0.0,0.05298281092012134,0.0524,-0.1048,-100.0,0.17675,-0.24869999999999998,-70.35360678925035
180,April,1,camp 3,Low,670 x 90,def,368,0.0392,3,0.1572,0,0.0,0.42717391304347824,0.0524,-0.1572,-100.0,0.013066666666666666,0.11800000000000001,301.02040816326536
183,April,1,camp 3,Low,670 x 90,mno,2852,0.0522,8,0.4193,0,0.0,0.1470196353436185,0.0524125,-0.4193,-100.0,0.006525,0.3671,703.2567049808429
184,April,1,camp 3,Medium,670 x 90,def,2313,0.3211,8,0.4193,0,0.0,0.1812797233030696,0.0524125,-0.4193,-100.0,0.0401375,0.09820000000000001,30.582373092494553
